                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.298,                 4.3942,                 1.4646,                 0.7288,                0.33603,                0.36536,                0.17539,                 1.4676,                 9.4776,                 1.7798,             0.00041045,             0.00041045,             0.00041045
                      2,                 1.3855,                 3.5557,                 1.5117,                0.68316,                0.33551,                0.41539,                0.19643,                 1.8102,                 11.107,                  2.231,             0.00081074,             0.00081074,             0.00081074
                      3,                  1.473,                 3.2639,                 1.5482,                0.54843,                0.24405,                0.27282,                0.10695,                 2.3083,                 9.9066,                 2.5415,              0.0011945,              0.0011945,              0.0011945
                      4,                 1.4474,                 2.9101,                 1.5583,                0.69346,                0.45307,                0.43931,                0.23053,                 1.7363,                 11.453,                 2.1879,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.3957,                 2.4751,                  1.537,                0.62525,                0.34881,                0.38807,                0.20188,                   1.75,                 7.3506,                 1.9763,               0.001151,               0.001151,               0.001151
                      6,                 1.3957,                 2.1901,                 1.4857,                 0.4954,                 0.4936,                0.42256,                 0.2062,                 1.7529,                 9.4315,                 1.9868,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.3666,                 1.8569,                 1.4735,                0.73611,                0.42631,                0.45858,                0.25812,                 1.4653,                 3.4207,                 1.7534,              0.0011015,              0.0011015,              0.0011015
                      8,                 1.2816,                 1.7524,                 1.4143,                0.85086,                 0.4096,                0.53424,                0.27456,                 1.5644,                 2.5108,                 1.7956,              0.0010768,              0.0010768,              0.0010768
                      9,                  1.398,                 1.8482,                 1.4743,                0.78753,                0.42271,                0.48884,                0.28439,                 1.4039,                 2.3583,                 1.6216,               0.001052,               0.001052,               0.001052
                     10,                  1.273,                 1.6091,                 1.3909,                0.63323,                0.57839,                0.51979,                0.32001,                 1.3966,                  2.619,                 1.6226,              0.0010273,              0.0010273,              0.0010273
                     11,                 1.2949,                 1.6645,                 1.4149,                0.70885,                0.54139,                0.53233,                 0.2856,                 1.5227,                 2.0446,                 1.7607,              0.0010025,              0.0010025,              0.0010025
                     12,                 1.2352,                 1.4768,                 1.4065,                0.67753,                0.44712,                0.51438,                0.28917,                 1.4895,                 1.8807,                 1.6925,             0.00097775,             0.00097775,             0.00097775
                     13,                 1.2275,                 1.4729,                 1.3774,                0.69439,                0.48926,                0.49673,                0.29498,                 1.3321,                 1.6847,                 1.5749,               0.000953,               0.000953,               0.000953
                     14,                  1.215,                 1.3047,                 1.3762,                0.74783,                0.50097,                0.52232,                0.30253,                 1.4296,                 1.6919,                 1.6274,             0.00092825,             0.00092825,             0.00092825
                     15,                 1.1918,                 1.3518,                 1.3368,                 0.6679,                0.54929,                 0.5191,                0.32423,                 1.2092,                 1.5144,                  1.479,              0.0009035,              0.0009035,              0.0009035
                     16,                 1.1616,                 1.2731,                 1.3241,                0.46581,                0.51126,                0.53798,                0.32592,                 1.3166,                 1.6365,                  1.578,             0.00087875,             0.00087875,             0.00087875
                     17,                 1.1589,                 1.2905,                 1.3282,                0.82157,                0.50743,                 0.6162,                0.35651,                 1.3775,                 1.7719,                 1.6584,               0.000854,               0.000854,               0.000854
                     18,                 1.1577,                 1.2143,                  1.325,                0.59664,                0.68914,                0.58938,                0.36012,                 1.2922,                 1.4655,                 1.5245,             0.00082925,             0.00082925,             0.00082925
                     19,                 1.0824,                 1.1049,                 1.2678,                0.72623,                0.59039,                 0.6586,                0.39977,                 1.1992,                  1.444,                 1.4889,              0.0008045,              0.0008045,              0.0008045
                     20,                 1.0726,                 1.1726,                 1.2694,                0.61796,                0.67946,                0.68262,                0.40163,                 1.2724,                 1.3714,                 1.5253,             0.00077975,             0.00077975,             0.00077975
                     21,                 1.1394,                 1.1752,                 1.3003,                0.51537,                0.75263,                0.67728,                0.39779,                 1.2971,                 1.2408,                 1.4845,               0.000755,               0.000755,               0.000755
                     22,                   1.04,                  1.044,                 1.2272,                0.58979,                0.70461,                0.69671,                0.41103,                 1.1834,                 1.1778,                 1.4003,             0.00073025,             0.00073025,             0.00073025
                     23,                 1.0314,                 1.0177,                 1.2235,                0.74748,                0.65506,                 0.7391,                0.43539,                 1.2307,                 1.2791,                 1.4864,              0.0007055,              0.0007055,              0.0007055
                     24,                 1.0343,                 1.0843,                 1.2619,                0.81217,                 0.6154,                0.75841,                0.44605,                 1.2012,                 1.2493,                 1.4296,             0.00068075,             0.00068075,             0.00068075
